node_id,community_id
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,9
11,7
12,9
13,10
14,2
15,1
16,5
17,11
18,12
19,9
20,13
21,6
22,10
23,11
24,9
25,12
26,5
27,9
28,2
29,14
30,15
31,16
32,5
33,4
34,14
35,10
36,10
37,8
38,2
39,5
40,17
41,7
42,17
43,5
44,18
45,10
46,10
47,17
48,18
49,16
50,19
51,16
52,16
53,7
54,3
55,4
56,5
57,20
58,12
59,6
60,12
61,5
62,15
63,16
64,7
65,13
66,16
67,2
68,15
69,6
70,21
71,15
72,10
73,20
74,16
75,8
76,5
77,15
78,1
79,13
80,19
81,10
82,10
83,15
84,7
85,5
86,2
87,8
88,14
89,16
90,10
91,19
92,21
93,1
94,5
95,12
96,8
97,17
98,8
99,9
100,19
101,14
102,17
103,1
104,6
105,3
106,12
107,21
108,20
109,18
110,19
111,21
112,19
113,2
114,8
115,21
116,9
117,17
118,16
119,12
120,0
121,19
122,3
123,12
124,10
125,17
126,3
127,14
128,12
129,2
130,15
131,2
132,15
133,10
134,8
135,5
136,16
137,1
138,16
139,3
140,1
141,8
142,17
143,21
144,5
145,6
146,2
147,17
148,11
149,16
150,17
151,6
152,7
153,9
154,17
155,20
156,1
157,2
158,16
159,14
160,2
161,16
162,12
163,8
164,6
165,21
166,9
167,9
168,10
169,5
170,12
171,9
172,8
173,6
174,5
175,8
176,20
177,1
178,5
179,17
180,6
181,2
182,15
183,11
184,19
185,18
186,18
187,1
188,6
189,2
190,20
191,19
192,17
193,21
194,1
195,11
196,21
197,2
198,20
199,4
200,15
201,4
202,16
203,12
204,15
205,21
206,11
207,15
208,11
209,13
210,9
211,13
212,16
213,18
214,16
215,13
216,18
217,18
218,4
219,4
220,16
221,13
222,16
223,1
224,13
225,18
226,18
227,6
228,4
229,13
230,13
231,21
232,19
233,15
234,2
235,13
236,18
237,18
238,13
239,4
240,4
241,9
242,13
243,4
244,4
245,9
246,13
247,13
248,13
249,4
250,13
