node_id,community_id
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,5
11,7
12,9
13,10
14,11
15,1
16,2
17,4
18,12
19,5
20,13
21,11
22,14
23,15
24,7
25,7
26,5
27,9
28,2
29,4
30,16
31,17
32,5
33,4
34,2
35,14
36,14
37,8
38,2
39,5
40,9
41,7
42,16
43,5
44,18
45,10
46,14
47,16
48,13
49,16
50,7
51,6
52,11
53,19
54,3
55,6
56,6
57,9
58,16
59,9
60,7
61,5
62,12
63,13
64,7
65,10
66,13
67,2
68,11
69,19
70,19
71,12
72,1
73,10
74,17
75,14
76,3
77,3
78,1
79,15
80,10
81,14
82,14
83,10
84,12
85,6
86,2
87,8
88,13
89,13
90,10
91,10
92,11
93,1
94,15
95,7
96,8
97,16
98,8
99,12
100,13
101,13
102,6
103,1
104,15
105,3
106,7
107,3
108,7
109,18
110,10
111,11
112,10
113,17
114,8
115,11
116,9
117,7
118,16
119,2
120,10
121,19
122,3
123,7
124,14
125,12
126,10
127,13
128,7
129,9
130,1
131,2
132,3
133,14
134,8
135,5
136,6
137,1
138,17
139,3
140,1
141,10
142,16
143,11
144,15
145,15
146,7
147,16
148,19
149,6
150,16
151,15
152,7
153,17
154,16
155,10
156,9
157,2
158,7
159,7
160,6
161,6
162,7
163,8
164,11
165,11
166,12
167,12
168,14
169,15
170,7
171,10
172,8
173,19
174,17
175,8
176,10
177,10
178,19
179,16
180,15
181,2
182,17
183,19
184,15
185,17
186,19
187,1
188,15
189,1
190,10
191,8
192,17
193,19
194,12
195,19
196,11
197,2
198,10
199,4
200,12
201,4
202,17
203,7
204,12
205,4
206,7
207,12
208,18
209,20
210,20
211,20
212,17
213,18
214,17
215,20
216,18
217,18
218,4
219,4
220,17
221,20
222,18
223,18
224,20
225,18
226,18
227,18
228,4
229,20
230,20
231,20
232,18
233,18
234,4
235,20
236,18
237,18
238,20
239,4
240,4
241,4
242,20
243,4
244,4
245,20
246,20
247,20
248,20
249,4
250,20
