edge_id,node1,node2
1,157,1
2,216,1
3,217,1
4,225,1
5,236,1
6,237,1
7,160,2
8,195,2
9,197,2
10,211,2
11,220,2
12,224,2
13,110,3
14,187,3
15,188,3
16,190,3
17,212,3
18,232,3
19,77,4
20,239,4
21,240,4
22,243,4
23,244,4
24,249,4
25,26,5
26,70,5
27,135,5
28,144,5
29,161,5
30,250,5
31,13,6
32,16,6
33,37,6
34,85,6
35,168,6
36,235,6
37,36,7
38,53,7
39,101,7
40,152,7
41,204,7
42,216,7
43,153,9
44,183,9
45,210,9
46,219,9
47,241,9
48,245,9
49,103,10
50,169,10
51,194,10
52,223,10
53,230,10
54,248,10
55,96,11
56,114,11
57,134,11
58,141,11
59,204,11
60,208,11
61,156,12
62,196,12
63,198,12
64,210,12
65,241,12
66,245,12
67,52,13
68,69,13
69,81,13
70,168,13
71,235,13
72,51,14
73,86,14
74,160,14
75,189,14
76,191,14
77,224,14
78,20,15
79,169,15
80,209,15
81,223,15
82,230,15
83,236,15
84,81,16
85,90,16
86,148,16
87,225,16
88,235,16
89,28,17
90,128,17
91,131,17
92,181,17
93,189,17
94,195,17
95,58,18
96,95,18
97,143,18
98,146,18
99,203,18
100,222,18
101,93,19
102,166,19
103,171,19
104,183,19
105,210,19
106,237,19
107,103,20
108,141,20
109,194,20
110,223,20
111,230,20
112,29,21
113,34,21
114,127,21
115,159,21
116,203,21
117,234,21
118,72,22
119,81,22
120,133,22
121,160,22
122,212,22
123,235,22
124,49,23
125,88,23
126,130,23
127,152,23
128,202,23
129,216,23
130,145,24
131,165,24
132,173,24
133,180,24
134,227,24
135,247,24
136,60,25
137,80,25
138,101,25
139,139,25
140,152,25
141,204,25
142,32,26
143,68,26
144,76,26
145,144,26
146,161,26
147,156,27
148,183,27
149,186,27
150,210,27
151,241,27
152,245,27
153,86,28
154,172,28
155,177,28
156,189,28
157,211,28
158,34,29
159,127,29
160,159,29
161,194,29
162,182,30
163,202,30
164,220,30
165,234,30
166,243,30
167,246,30
168,145,31
169,169,31
170,173,31
171,180,31
172,227,31
173,247,31
174,76,32
175,135,32
176,144,32
177,161,32
178,245,32
179,115,33
180,143,33
181,162,33
182,179,33
183,203,33
184,222,33
185,127,34
186,159,34
187,170,34
188,86,35
189,146,35
190,174,35
191,189,35
192,211,35
193,224,35
194,53,36
195,80,36
196,88,36
197,152,36
198,204,36
199,99,37
200,129,37
201,196,37
202,241,37
203,245,37
204,49,38
205,88,38
206,130,38
207,153,38
208,223,38
209,43,39
210,68,39
211,121,39
212,135,39
213,161,39
214,190,39
215,90,40
216,182,40
217,202,40
218,220,40
219,234,40
220,54,41
221,107,41
222,172,41
223,193,41
224,196,41
225,138,42
226,182,42
227,188,42
228,202,42
229,220,42
230,234,42
231,68,43
232,70,43
233,76,43
234,135,43
235,242,43
236,162,44
237,216,44
238,217,44
239,225,44
240,236,44
241,237,44
242,151,45
243,173,45
244,180,45
245,227,45
246,228,45
247,247,45
248,87,46
249,129,46
250,150,46
251,175,46
252,178,46
253,208,46
254,62,47
255,192,47
256,214,47
257,233,47
258,239,47
259,246,47
260,120,48
261,216,48
262,217,48
263,225,48
264,236,48
265,237,48
266,88,49
267,130,49
268,135,49
269,189,49
270,166,50
271,184,50
272,188,50
273,191,50
274,212,50
275,232,50
276,216,51
277,217,51
278,225,51
279,236,51
280,237,51
281,82,52
282,168,52
283,191,52
284,200,52
285,235,52
286,84,53
287,101,53
288,131,53
289,152,53
290,204,53
291,64,54
292,107,54
293,172,54
294,193,54
295,249,54
296,219,55
297,239,55
298,240,55
299,243,55
300,244,55
301,249,55
302,250,55
303,175,56
304,184,56
305,190,56
306,191,56
307,212,56
308,232,56
309,245,56
310,114,57
311,141,57
312,150,57
313,175,57
314,186,57
315,208,57
316,210,57
317,118,58
318,182,58
319,187,58
320,202,58
321,220,58
322,234,58
323,67,59
324,120,59
325,166,59
326,171,59
327,196,59
328,241,59
329,245,59
330,80,60
331,101,60
332,152,60
333,192,60
334,204,60
335,236,60
336,66,61
337,149,61
338,178,61
339,206,61
340,225,61
341,117,62
342,126,62
343,151,62
344,192,62
345,214,62
346,246,62
347,138,63
348,140,63
349,182,63
350,202,63
351,220,63
352,232,63
353,234,63
354,78,64
355,137,64
356,169,64
357,194,64
358,223,64
359,230,64
360,150,65
361,167,65
362,198,65
363,200,65
364,207,65
365,230,65
366,233,65
367,106,66
368,149,66
369,178,66
370,206,66
371,124,67
372,177,67
373,181,67
374,189,67
375,224,67
376,246,67
377,70,68
378,112,68
379,144,68
380,161,68
381,89,69
382,131,69
383,151,69
384,181,69
385,227,69
386,247,69
387,135,70
388,144,70
389,161,70
390,226,70
391,122,71
392,160,71
393,167,71
394,198,71
395,200,71
396,207,71
397,233,71
398,82,72
399,90,72
400,96,72
401,133,72
402,148,72
403,235,72
404,142,73
405,154,73
406,155,73
407,174,73
408,176,73
409,187,73
410,229,73
411,139,74
412,142,74
413,144,74
414,174,74
415,176,74
416,187,74
417,248,74
418,132,75
419,167,75
420,198,75
421,200,75
422,207,75
423,217,75
424,233,75
425,144,76
426,161,76
427,177,76
428,245,76
429,164,77
430,165,77
431,168,77
432,170,77
433,205,77
434,231,77
435,119,78
436,137,78
437,169,78
438,194,78
439,223,78
440,230,78
