edge_id,node1,node2,intra_inter
1,216,1,1
2,217,1,1
3,225,1,1
4,236,1,1
5,237,1,1
6,67,2,1
7,146,2,1
8,189,2,1
9,193,2,-1
10,197,2,1
11,224,2,1
12,102,3,-1
13,184,3,1
14,190,3,1
15,191,3,1
16,212,3,1
17,232,3,1
18,239,4,1
19,240,4,1
20,243,4,1
21,244,4,1
22,249,4,1
23,250,4,-1
24,26,5,1
25,68,5,1
26,144,5,1
27,161,5,1
28,198,5,-1
29,45,6,1
30,95,6,-1
31,109,6,-1
32,133,6,1
33,148,6,1
34,235,6,1
35,60,7,1
36,80,7,1
37,104,7,-1
38,152,7,1
39,178,7,1
40,204,7,1
41,75,8,1
42,98,8,1
43,114,8,1
44,141,8,1
45,148,8,-1
46,189,8,-1
47,99,9,1
48,105,9,-1
49,171,9,1
50,210,9,1
51,241,9,1
52,245,9,1
53,59,10,1
54,116,10,1
55,156,10,1
56,241,10,1
57,245,10,1
58,246,10,-1
59,47,11,-1
60,229,11,1
61,238,11,1
62,242,11,1
63,248,11,1
64,250,11,1
65,116,12,1
66,171,12,1
67,177,12,-1
68,183,12,1
69,210,12,1
70,245,12,1
71,74,13,-1
72,81,13,1
73,82,13,1
74,148,13,1
75,168,13,1
76,235,13,1
77,35,14,1
78,61,14,-1
79,162,14,-1
80,195,14,1
81,197,14,1
82,224,14,1
83,153,15,-1
84,169,15,1
85,194,15,1
86,223,15,1
87,228,15,-1
88,230,15,1
89,54,16,1
90,76,16,1
91,94,16,-1
92,107,16,1
93,38,17,1
94,52,17,1
95,64,17,1
96,88,17,1
97,196,17,-1
98,71,18,-1
99,115,18,1
100,128,18,1
101,162,18,1
102,203,18,1
103,214,18,-1
104,118,19,-1
105,153,19,1
106,183,19,1
107,231,19,-1
108,241,19,1
109,245,19,1
110,29,20,1
111,34,20,1
112,127,20,1
113,130,20,-1
114,159,20,1
115,193,20,1
116,22,21,1
117,124,21,1
118,148,21,1
119,212,21,-1
120,235,21,1
121,243,21,-1
122,72,22,1
123,118,22,-1
124,124,22,1
125,232,22,-1
126,235,22,1
127,53,23,1
128,152,23,1
129,178,23,1
130,204,23,1
131,210,23,-1
132,228,23,-1
133,156,24,1
134,173,24,-1
135,183,24,1
136,210,24,1
137,241,24,1
138,245,24,1
139,36,25,1
140,60,25,1
141,101,25,1
142,178,25,1
143,204,25,1
144,244,25,-1
145,43,26,1
146,111,26,-1
147,135,26,1
148,144,26,1
149,161,26,1
150,90,27,-1
151,171,27,1
152,210,27,1
153,233,27,-1
154,241,27,1
155,245,27,1
156,41,28,1
157,131,28,1
158,177,28,1
159,181,28,1
160,221,28,-1
161,224,28,1
162,34,29,1
163,47,29,-1
164,127,29,1
165,159,29,1
166,193,29,1
167,138,30,1
168,184,30,-1
169,191,30,-1
170,202,30,1
171,214,30,1
172,234,30,1
173,40,31,1
174,138,31,1
175,142,31,-1
176,202,31,1
177,214,31,1
178,234,31,1
179,43,32,1
180,68,32,1
181,135,32,1
182,144,32,1
183,161,32,1
184,199,32,-1
185,39,33,-1
186,123,33,1
187,128,33,1
188,162,33,1
189,170,33,1
190,179,33,1
191,127,34,1
192,159,34,1
193,193,34,1
194,245,34,-1
195,177,35,1
196,195,35,1
197,197,35,1
198,224,35,1
199,234,35,-1
200,53,36,1
201,104,36,-1
202,152,36,1
203,178,36,1
204,204,36,1
205,87,37,1
206,96,37,1
207,98,37,1
208,141,37,1
209,163,37,1
210,202,37,-1
211,52,38,1
212,64,38,1
213,80,38,-1
214,88,38,1
