node_id,community_id
1,1
2,2
3,3
4,4
5,5
6,1
7,3
8,6
9,2
10,7
11,8
12,1
13,9
14,10
15,11
16,5
17,1
18,9
19,12
20,5
21,1
22,5
23,5
24,13
25,13
26,12
27,7
28,14
29,4
30,15
31,3
32,5
33,13
34,16
35,8
36,16
37,17
38,16
39,3
40,8
41,3
42,5
43,3
44,3
45,5
46,5
47,13
48,3
49,10
50,17
51,12
52,3
53,9
54,18
55,19
56,12
57,6
58,20
59,19
60,2
61,13
62,18
63,20
64,15
65,8
66,5
67,3
68,10
69,2
70,3
71,13
72,12
73,21
74,8
75,20
76,7
77,5
78,15
79,21
80,22
81,5
82,5
83,6
84,13
85,1
86,5
87,10
88,13
89,1
90,21
91,1
92,14
93,1
94,22
95,13
96,22
97,18
98,15
99,19
100,18
101,13
102,3
103,11
104,18
105,8
106,8
107,19
108,20
109,3
110,15
111,18
112,16
113,3
114,7
115,10
116,16
117,3
118,3
119,3
120,20
121,14
122,2
123,13
124,15
125,13
126,13
127,16
128,3
129,20
130,22
131,1
132,14
133,5
134,17
135,1
136,1
137,16
138,8
139,4
140,1
141,18
142,13
143,15
144,2
145,8
146,14
147,20
148,12
149,5
150,12
151,1
152,4
153,8
154,11
155,9
156,18
157,16
158,16
159,11
160,1
161,1
162,3
163,22
164,18
165,10
166,13
167,3
168,5
169,12
170,13
171,19
172,4
173,17
174,13
175,6
176,9
177,10
178,1
179,20
180,14
181,17
182,8
183,6
184,12
185,8
186,20
187,22
188,2
189,16
190,6
191,1
192,20
193,18
194,20
195,11
196,8
197,16
198,9
199,4
200,11
201,4
202,17
203,13
204,20
205,3
206,13
207,13
208,8
209,21
210,19
211,21
212,8
213,3
214,8
215,22
216,15
217,3
218,18
219,3
220,15
221,13
222,3
223,3
224,11
225,13
226,3
227,3
228,16
229,16
230,12
231,21
232,3
233,11
234,4
235,21
236,3
237,3
238,18
239,8
240,4
241,4
242,20
243,4
244,13
245,21
246,21
247,5
248,21
249,3
250,15
