edge_id,node1,node2
1,103,1
2,134,1
3,154,1
4,159,1
5,233,1
6,60,2
7,132,2
8,146,2
9,180,2
10,188,2
11,248,2
12,18,3
13,25,3
14,39,3
15,117,3
16,237,3
17,249,3
18,172,4
19,234,4
20,239,4
21,240,4
22,241,4
23,243,4
24,20,5
25,32,5
26,149,5
27,168,5
28,232,5
29,247,5
30,17,6
31,21,6
32,52,6
33,160,6
34,161,6
35,244,6
36,162,7
37,208,7
38,213,7
39,215,7
40,237,7
41,249,7
42,63,8
43,126,8
44,160,8
45,175,8
46,183,8
47,190,8
48,54,9
49,121,9
50,122,9
51,140,9
52,144,9
53,188,9
54,27,10
55,76,10
56,114,10
57,129,10
58,209,10
59,96,11
60,105,11
61,185,11
62,196,11
63,208,11
64,212,11
65,51,12
66,89,12
67,136,12
68,160,12
69,161,12
70,212,12
71,53,13
72,155,13
73,176,13
74,198,13
75,68,14
76,87,14
77,165,14
78,177,14
79,212,14
80,238,14
81,45,15
82,103,15
83,154,15
84,159,15
85,202,15
86,233,15
87,101,16
88,238,16
89,245,16
90,246,16
91,248,16
92,250,16
93,51,17
94,89,17
95,135,17
96,161,17
97,236,17
98,128,18
99,203,18
100,232,18
101,236,18
102,241,18
103,77,19
104,148,19
105,150,19
106,169,19
107,184,19
108,219,19
109,63,20
110,82,20
111,86,20
112,88,20
113,247,20
114,131,21
115,151,21
116,160,21
117,227,21
118,233,21
119,65,22
120,108,22
121,125,22
122,133,22
123,168,22
124,247,22
125,27,23
126,66,23
127,86,23
128,149,23
129,182,23
130,247,23
131,136,24
132,158,24
133,170,24
134,203,24
135,225,24
136,244,24
137,203,25
138,206,25
139,221,25
140,225,25
141,244,25
142,78,26
143,127,26
144,148,26
145,150,26
146,169,26
147,184,26
148,76,27
149,114,27
150,129,27
151,194,27
152,122,28
153,132,28
154,144,28
155,180,28
156,188,28
157,221,28
158,97,29
159,200,29
160,234,29
161,239,29
162,241,29
163,243,29
164,110,30
165,124,30
166,143,30
167,188,30
168,189,30
169,216,30
170,119,31
171,205,31
172,222,31
173,223,31
174,242,31
175,249,31
176,66,32
177,81,32
178,119,32
179,168,32
180,247,32
181,68,33
182,87,33
183,115,33
184,165,33
185,177,33
186,226,33
187,186,34
188,189,34
189,191,34
190,197,34
191,228,34
192,229,34
193,113,35
194,146,35
195,153,35
196,196,35
197,212,35
198,214,35
199,95,36
200,189,36
201,191,36
202,197,36
203,228,36
204,229,36
205,50,37
206,134,37
207,173,37
208,242,37
209,94,38
210,112,38
211,197,38
212,204,38
213,228,38
214,229,38
215,83,39
216,133,39
217,215,39
218,237,39
219,249,39
220,156,40
221,185,40
222,196,40
223,208,40
224,212,40
225,214,40
226,118,41
227,155,41
228,162,41
229,215,41
230,219,41
231,237,41
232,186,42
233,192,42
234,204,42
235,220,42
236,242,42
237,246,42
238,102,43
239,187,43
240,217,43
241,236,43
242,237,43
243,249,43
244,138,44
245,213,44
246,215,44
247,222,44
248,223,44
249,237,44
250,63,45
251,77,45
252,81,45
253,149,45
254,247,45
255,65,46
256,77,46
257,86,46
258,210,46
259,221,46
260,247,46
261,61,47
262,121,47
263,166,47
264,225,47
265,240,47
266,244,47
267,109,48
268,179,48
269,215,48
270,222,48
271,236,48
272,237,48
273,115,49
274,165,49
275,177,49
276,244,49
277,248,49
278,57,50
279,134,50
280,173,50
281,85,51
282,151,51
283,160,51
284,208,51
285,66,52
286,217,52
287,219,52
288,227,52
289,237,52
290,57,53
291,83,53
292,126,53
293,175,53
294,183,53
295,190,53
296,60,54
297,95,54
298,121,54
299,146,54
300,188,54
301,198,54
302,59,55
303,99,55
304,107,55
305,171,55
306,199,55
307,210,55
308,127,56
309,148,56
310,150,56
311,169,56
312,184,56
313,220,56
314,228,56
315,126,57
316,175,57
317,183,57
318,190,57
319,196,57
320,108,58
321,120,58
322,147,58
323,194,58
324,206,58
325,230,58
326,242,58
327,99,59
328,107,59
329,171,59
330,210,59
331,238,59
332,62,60
333,69,60
334,122,60
335,188,60
336,243,60
337,170,61
338,174,61
339,192,61
340,207,61
341,221,61
342,244,61
343,73,62
344,141,62
345,164,62
346,193,62
347,240,62
348,66,63
349,167,63
350,168,63
351,247,63
352,78,64
353,98,64
354,100,64
355,110,64
356,124,64
357,143,64
358,216,64
359,85,65
360,149,65
361,168,65
362,224,65
363,247,65
364,133,66
365,149,66
366,247,66
367,131,67
368,181,67
369,213,67
370,219,67
371,223,67
372,227,67
373,236,67
374,87,68
375,115,68
376,140,68
377,165,68
378,177,68
379,121,69
380,122,69
381,132,69
382,176,69
383,180,69
384,241,69
385,79,70
386,102,70
387,215,70
388,222,70
389,223,70
390,226,70
391,237,70
392,123,71
393,158,71
394,166,71
395,203,71
396,206,71
397,221,71
398,236,71
399,127,72
400,148,72
401,150,72
402,169,72
403,184,72
404,88,73
405,111,73
406,141,73
407,164,73
408,193,73
409,213,73
410,76,74
411,81,74
412,153,74
413,185,74
414,208,74
415,212,74
416,214,74
417,106,75
418,179,75
419,186,75
420,194,75
421,220,75
422,232,75
423,242,75
424,114,76
425,129,76
426,175,76
427,82,77
428,133,77
429,216,77
430,247,77
431,98,78
432,110,78
433,124,78
434,143,78
435,216,78
436,231,79
437,238,79
438,245,79
439,246,79
440,248,79
441,250,79
442,94,80
443,96,80
444,130,80
445,163,80
446,187,80
447,202,80
448,224,80
449,133,81
450,159,81
451,168,81
452,247,81
453,105,82
454,133,82
455,149,82
456,168,82
457,247,82
458,117,83
459,126,83
460,175,83
461,183,83
462,190,83
463,170,84
464,187,84
465,200,84
466,203,84
467,206,84
468,225,84
469,244,84
470,109,85
471,131,85
472,135,85
473,136,85
474,151,85
475,133,86
476,149,86
477,234,86
478,247,86
479,115,87
480,165,87
481,177,87
482,218,87
483,97,88
484,111,88
485,141,88
486,164,88
487,193,88
488,136,89
489,151,89
490,160,89
491,161,89
492,207,89
493,175,90
494,231,90
495,238,90
496,245,90
497,246,90
498,248,90
499,250,90
500,93,91
501,137,91
502,140,91
503,178,91
504,181,91
505,192,91
506,195,91
507,157,92
508,189,92
509,191,92
510,197,92
511,209,92
512,228,92
513,229,92
514,111,93
515,137,93
516,140,93
517,178,93
518,181,93
519,195,93
520,130,94
521,163,94
522,187,94
523,202,94
524,219,94
525,101,95
526,203,95
527,206,95
528,207,95
529,221,95
530,130,96
531,163,96
532,180,96
533,187,96
534,202,96
535,111,97
536,122,97
537,141,97
538,164,97
539,193,97
540,110,98
541,124,98
542,137,98
543,143,98
544,216,98
545,107,99
546,171,99
547,198,99
548,210,99
549,200,100
550,218,100
551,234,100
552,239,100
553,240,100
554,241,100
555,243,100
556,158,101
557,170,101
558,191,101
